cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
65,990.0,3,1,24.58,1,"{""GROWING"": 1}",1,-0.1621
66,1005.0,3,1,26.85,1,"{""GROWING"": 1}",1,-0.1531
67,1020.0,3,1,27.22,1,"{""PEAK"": 1}",1,-0.1387
68,1035.0,3,1,27.63,1,"{""PEAK"": 1}",1,-0.0763
69,1050.0,3,1,28.08,1,"{""PEAK"": 1}",1,0.0568
70,1065.0,3,1,28.57,1,"{""PEAK"": 1}",1,0.1443
71,1080.0,3,1,29.09,1,"{""PEAK"": 1}",1,0.1472
72,1095.0,3,1,29.67,1,"{""PEAK"": 1}",1,0.1626
73,1110.0,3,1,30.31,1,"{""PEAK"": 1}",1,-0.1711
74,1125.0,3,1,31.03,1,"{""PEAK"": 1}",1,-0.1709
75,1140.0,3,1,31.83,1,"{""PEAK"": 1}",1,-0.1706
76,1155.0,3,1,32.73,1,"{""PEAK"": 1}",1,-0.1704
77,1170.0,3,1,33.75,1,"{""GROWING"": 1}",1,-0.1701
78,1185.0,3,1,34.91,1,"{""GROWING"": 1}",1,-0.1697
79,1200.0,3,1,36.23,1,"{""GROWING"": 1}",1,-0.1694
80,1215.0,3,1,37.75,1,"{""GROWING"": 1}",1,-0.169
81,1230.0,3,1,39.5,1,"{""GROWING"": 1}",1,-0.1685
82,1245.0,3,1,41.55,1,"{""GROWING"": 1}",1,-0.168
83,1260.0,3,1,43.95,1,"{""GROWING"": 1}",1,-0.1674
84,1275.0,3,1,46.8,1,"{""GROWING"": 1}",1,-0.1668
85,1290.0,3,1,50.21,1,"{""GROWING"": 1}",0,
86,1305.0,3,1,50.99,1,"{""PEAK"": 1}",0,
87,1320.0,3,1,50.99,1,"{""PEAK"": 1}",0,
88,1335.0,3,1,50.99,1,"{""PEAK"": 1}",0,
89,1350.0,3,1,54.99,1,"{""GROWING"": 1}",0,
90,1365.0,3,1,58.99,1,"{""GROWING"": 1}",0,
91,1380.0,3,1,62.99,1,"{""GROWING"": 1}",0,
92,1395.0,3,1,62.99,1,"{""PEAK"": 1}",0,
93,1410.0,3,1,62.99,1,"{""PEAK"": 1}",0,
94,1425.0,3,1,62.99,1,"{""PEAK"": 1}",0,
95,1440.0,3,1,62.99,1,"{""PEAK"": 1}",0,
96,1455.0,3,1,62.99,1,"{""PEAK"": 1}",0,
97,1470.0,3,1,62.99,1,"{""PEAK"": 1}",0,
98,1485.0,3,1,62.99,1,"{""PEAK"": 1}",0,
99,1500.0,3,1,62.99,1,"{""PEAK"": 1}",0,
100,1515.0,3,1,62.99,1,"{""PEAK"": 1}",0,
101,1530.0,3,1,62.99,1,"{""PEAK"": 1}",0,
102,1545.0,3,1,62.99,1,"{""PEAK"": 1}",0,
103,1560.0,3,1,62.99,1,"{""PEAK"": 1}",0,
104,1575.0,3,1,62.99,1,"{""PEAK"": 1}",0,
105,1590.0,3,1,62.99,1,"{""PEAK"": 1}",0,
106,1605.0,3,1,62.99,1,"{""PEAK"": 1}",0,
107,1620.0,3,1,62.99,1,"{""PEAK"": 1}",0,
108,1635.0,3,1,62.99,1,"{""PEAK"": 1}",0,
